"BehaviorSpace results (NetLogo 6.3.0)"
"Social impact theory.nlogo"
"experiment"
"04/19/2023 15:52:21:143 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-10","10","-10","10"
"[run number]","max-h","probability-of-spin-up","[step]","magnetization"
"4","100","50","42","0.8049886621315193"
"5","100","50","42","-0.03854875283446712"
"2","100","50","54","0.8412698412698413"
"3","100","50","69","0.854875283446712"
"4","100","50","43","0.8140589569160998"
"2","100","50","55","0.8458049886621315"
"5","100","50","43","-0.034013605442176874"
"3","100","50","70","0.854875283446712"
"1","100","50","48","0.6235827664399093"
"4","100","50","44","0.81859410430839"
"2","100","50","56","0.8458049886621315"
"5","100","50","44","-0.02947845804988662"
"3","100","50","71","0.854875283446712"
"4","100","50","45","0.81859410430839"
"2","100","50","57","0.8503401360544217"
"5","100","50","45","-0.015873015873015872"
"1","100","50","49","0.6235827664399093"
"3","100","50","72","0.8503401360544217"
"4","100","50","46","0.8321995464852607"
"2","100","50","58","0.8503401360544217"
"5","100","50","46","-0.015873015873015872"
"1","100","50","50","0.6235827664399093"
"3","100","50","73","0.8503401360544217"
"4","100","50","47","0.8412698412698413"
"2","100","50","59","0.854875283446712"
"5","100","50","47","-0.015873015873015872"
"1","100","50","51","0.6235827664399093"
"4","100","50","48","0.8458049886621315"
"3","100","50","74","0.8458049886621315"
"2","100","50","60","0.8503401360544217"
"5","100","50","48","-0.011337868480725623"
"4","100","50","49","0.8639455782312925"
"1","100","50","52","0.6190476190476191"
"3","100","50","75","0.8458049886621315"
"2","100","50","61","0.8458049886621315"
"5","100","50","49","0.006802721088435374"
"4","100","50","50","0.8684807256235828"
"3","100","50","76","0.8458049886621315"
"1","100","50","53","0.6190476190476191"
"2","100","50","62","0.8503401360544217"
"5","100","50","50","0.015873015873015872"
"4","100","50","51","0.8684807256235828"
"3","100","50","77","0.8503401360544217"
"1","100","50","54","0.6235827664399093"
"2","100","50","63","0.8503401360544217"
"4","100","50","52","0.8775510204081632"
"5","100","50","51","0.024943310657596373"
"3","100","50","78","0.854875283446712"
"2","100","50","64","0.854875283446712"
"1","100","50","55","0.6235827664399093"
"4","100","50","53","0.8866213151927438"
"5","100","50","52","0.03854875283446712"
"3","100","50","79","0.854875283446712"
"2","100","50","65","0.8503401360544217"
"1","100","50","56","0.6281179138321995"
"4","100","50","54","0.891156462585034"
"5","100","50","53","0.05215419501133787"
"3","100","50","80","0.8639455782312925"
"2","100","50","66","0.854875283446712"
"1","100","50","57","0.6235827664399093"
"4","100","50","55","0.891156462585034"
"5","100","50","54","0.047619047619047616"
"3","100","50","81","0.8639455782312925"
"2","100","50","67","0.854875283446712"
"1","100","50","58","0.6281179138321995"
"4","100","50","56","0.891156462585034"
"5","100","50","55","0.05215419501133787"
"2","100","50","68","0.854875283446712"
"3","100","50","82","0.8594104308390023"
"1","100","50","59","0.6281179138321995"
"4","100","50","57","0.891156462585034"
"5","100","50","56","0.047619047619047616"
"3","100","50","83","0.8594104308390023"
"2","100","50","69","0.8503401360544217"
"4","100","50","58","0.891156462585034"
"1","100","50","60","0.6235827664399093"
"5","100","50","57","0.05668934240362812"
"3","100","50","84","0.8594104308390023"
"2","100","50","70","0.8503401360544217"
"4","100","50","59","0.891156462585034"
"5","100","50","58","0.05215419501133787"
"1","100","50","61","0.6281179138321995"
"3","100","50","85","0.8684807256235828"
"4","100","50","60","0.891156462585034"
"2","100","50","71","0.8503401360544217"
"5","100","50","59","0.05668934240362812"
"1","100","50","62","0.6235827664399093"
"3","100","50","86","0.8684807256235828"
"4","100","50","61","0.891156462585034"
"2","100","50","72","0.8503401360544217"
"5","100","50","60","0.05668934240362812"
"1","100","50","63","0.6235827664399093"
"3","100","50","87","0.8684807256235828"
"4","100","50","62","0.891156462585034"
"2","100","50","73","0.8503401360544217"
"5","100","50","61","0.061224489795918366"
"1","100","50","64","0.6235827664399093"
"4","100","50","63","0.891156462585034"
"3","100","50","88","0.8684807256235828"
"2","100","50","74","0.8503401360544217"
"5","100","50","62","0.08390022675736962"
"1","100","50","65","0.6235827664399093"
"4","100","50","64","0.8956916099773242"
"3","100","50","89","0.8684807256235828"
"2","100","50","75","0.8503401360544217"
"5","100","50","63","0.09750566893424037"
"3","100","50","90","0.8684807256235828"
"4","100","50","65","0.8956916099773242"
"1","100","50","66","0.6190476190476191"
"2","100","50","76","0.8503401360544217"
"5","100","50","64","0.09750566893424037"
"3","100","50","91","0.8684807256235828"
"4","100","50","66","0.8956916099773242"
"1","100","50","67","0.6190476190476191"
"2","100","50","77","0.8503401360544217"
"5","100","50","65","0.10657596371882086"
"4","100","50","67","0.8956916099773242"
"3","100","50","92","0.873015873015873"
"1","100","50","68","0.6190476190476191"
"2","100","50","78","0.8503401360544217"
"5","100","50","66","0.10657596371882086"
"4","100","50","68","0.8956916099773242"
"3","100","50","93","0.873015873015873"
"5","100","50","67","0.10657596371882086"
"1","100","50","69","0.6235827664399093"
"2","100","50","79","0.854875283446712"
"4","100","50","69","0.9002267573696145"
"3","100","50","94","0.8775510204081632"
"5","100","50","68","0.10657596371882086"
"1","100","50","70","0.6235827664399093"
"2","100","50","80","0.854875283446712"
"4","100","50","70","0.9002267573696145"
"3","100","50","95","0.8820861678004536"
"5","100","50","69","0.10657596371882086"
"1","100","50","71","0.6281179138321995"
"2","100","50","81","0.8458049886621315"
"4","100","50","71","0.9002267573696145"
"3","100","50","96","0.8820861678004536"
"5","100","50","70","0.10657596371882086"
"1","100","50","72","0.6326530612244898"
"2","100","50","82","0.8503401360544217"
"4","100","50","72","0.9002267573696145"
"3","100","50","97","0.8820861678004536"
"5","100","50","71","0.10657596371882086"
"1","100","50","73","0.6326530612244898"
"2","100","50","83","0.8503401360544217"
"4","100","50","73","0.9002267573696145"
"3","100","50","98","0.891156462585034"
"5","100","50","72","0.1111111111111111"
"2","100","50","84","0.8458049886621315"
"1","100","50","74","0.63718820861678"
"4","100","50","74","0.9002267573696145"
"3","100","50","99","0.891156462585034"
"5","100","50","73","0.10657596371882086"
"2","100","50","85","0.8503401360544217"
"1","100","50","75","0.63718820861678"
"4","100","50","75","0.9002267573696145"
"3","100","50","100","0.891156462585034"
"5","100","50","74","0.10657596371882086"
"2","100","50","86","0.8503401360544217"
"1","100","50","76","0.63718820861678"
"4","100","50","76","0.9047619047619048"
"3","100","50","101","0.891156462585034"
"5","100","50","75","0.10204081632653061"
"2","100","50","87","0.8458049886621315"
"1","100","50","77","0.6417233560090703"
"4","100","50","77","0.9047619047619048"
"5","100","50","76","0.09297052154195011"
"3","100","50","102","0.891156462585034"
"2","100","50","88","0.8503401360544217"
"1","100","50","78","0.63718820861678"
"4","100","50","78","0.9047619047619048"
"5","100","50","77","0.09750566893424037"
"2","100","50","89","0.8503401360544217"
"3","100","50","103","0.891156462585034"
"4","100","50","79","0.9047619047619048"
"5","100","50","78","0.09750566893424037"
"1","100","50","79","0.63718820861678"
"2","100","50","90","0.8503401360544217"
"3","100","50","104","0.8956916099773242"
"4","100","50","80","0.909297052154195"
"5","100","50","79","0.10657596371882086"
"1","100","50","80","0.63718820861678"
"2","100","50","91","0.8458049886621315"
"3","100","50","105","0.8956916099773242"
"4","100","50","81","0.909297052154195"
"5","100","50","80","0.10657596371882086"
"2","100","50","92","0.8458049886621315"
"1","100","50","81","0.63718820861678"
"3","100","50","106","0.8956916099773242"
"4","100","50","82","0.9138321995464853"
"5","100","50","81","0.11564625850340136"
"2","100","50","93","0.8503401360544217"
"3","100","50","107","0.8956916099773242"
"1","100","50","82","0.6326530612244898"
"4","100","50","83","0.9138321995464853"
"5","100","50","82","0.11564625850340136"
"2","100","50","94","0.8503401360544217"
"3","100","50","108","0.891156462585034"
"4","100","50","84","0.9138321995464853"
"2","100","50","95","0.854875283446712"
"5","100","50","83","0.11564625850340136"
"1","100","50","83","0.6326530612244898"
"4","100","50","85","0.9138321995464853"
"5","100","50","84","0.13378684807256236"
"3","100","50","109","0.891156462585034"
"2","100","50","96","0.8594104308390023"
"1","100","50","84","0.6326530612244898"
"4","100","50","86","0.9138321995464853"
"3","100","50","110","0.9047619047619048"
"5","100","50","85","0.1383219954648526"
"2","100","50","97","0.8684807256235828"
"1","100","50","85","0.6326530612244898"
"4","100","50","87","0.9229024943310657"
"3","100","50","111","0.909297052154195"
"2","100","50","98","0.8684807256235828"
"5","100","50","86","0.1383219954648526"
"1","100","50","86","0.6326530612244898"
"4","100","50","88","0.9229024943310657"
"2","100","50","99","0.8684807256235828"
"3","100","50","112","0.9138321995464853"
"5","100","50","87","0.13378684807256236"
"1","100","50","87","0.6326530612244898"
"4","100","50","89","0.9229024943310657"
